SampleID, process, xsectioninpb, filtereff, kfactor, uncertup, uncertdown, generator, etag
502962, Default, 1, 1, 1, 0, 0, Default, Default
502963, Default, 1, 1, 1, 0, 0, Default, Default
502964, Default, 1, 1, 1, 0, 0, Default, Default
600536, Default, 1, 1, 1, 0, 0, Default, Default
600537, Default, 1, 1, 1, 0, 0, Default, Default
600538, Default, 1, 1, 1, 0, 0, Default, Default
600539, Default, 1, 1, 1, 0, 0, Default, Default
600540, Default, 1, 1, 1, 0, 0, Default, Default
600541, Default, 1, 1, 1, 0, 0, Default, Default
600763, Default, 1, 1, 1, 0, 0, Default, Default
600764, Default, 1, 1, 1, 0, 0, Default, Default
600765, Default, 1, 1, 1, 0, 0, Default, Default
600766, Default, 1, 1, 1, 0, 0, Default, Default
600767, Default, 1, 1, 1, 0, 0, Default, Default
600768, Default, 1, 1, 1, 0, 0, Default, Default
600853, Default, 1, 1, 1, 0, 0, Default, Default
600854, Default, 1, 1, 1, 0, 0, Default, Default
600855, Default, 1, 1, 1, 0, 0, Default, Default
600856, Default, 1, 1, 1, 0, 0, Default, Default
600857, Default, 1, 1, 1, 0, 0, Default, Default
600858, Default, 1, 1, 1, 0, 0, Default, Default
600888, Default, 1, 1, 1, 0, 0, Default, Default
600889, Default, 1, 1, 1, 0, 0, Default, Default
600890, Default, 1, 1, 1, 0, 0, Default, Default
600891, Default, 1, 1, 1, 0, 0, Default, Default
600892, Default, 1, 1, 1, 0, 0, Default, Default
600893, Default, 1, 1, 1, 0, 0, Default, Default
700011, Default, 1, 1, 1, 0, 0, Default, Default
700012, Default, 1, 1, 1, 0, 0, Default, Default
700013, Default, 1, 1, 1, 0, 0, Default, Default
700014, Default, 1, 1, 1, 0, 0, Default, Default
700015, Default, 1, 1, 1, 0, 0, Default, Default
700016, Default, 1, 1, 1, 0, 0, Default, Default
700017, Default, 1, 1, 1, 0, 0, Default, Default
700168, Default, 1, 1, 1, 0, 0, Default, Default
