SampleID,       process,                        xsectioninpb,           kfactor,        filtefficiency, xsecunc,        generator
364183,         Sh221_PDF30_Wenu_MHPT1000_E_CMS,                1.197421,       1.0,    1.0,    1.,     Sherpa
364184,         Sh221_PDF30_Wtaunu_MHPT0_70_CVetoBVeto,         15326.245,      1.0,    1.0,    1.,     Sherpa
364185,         Sh221_PDF30_Wtaunu_MHPT0_70_CFiltBVet,          2444.3548,      1.0,    1.0,    1.,     Sherpa
364186,         Sh221_PDF30_Wtaunu_MHPT0_70_BFilter,            836.78684,      1.0,    1.0,    1.,     Sherpa
364187,         Sh221_PDF30_Wtaunu_MHPT70_140_CVetoBVeto,       620.16689,      1.0,    1.0,    1.,     Sherpa
364188,         Sh221_PDF30_Wtaunu_MHPT70_140_CFiltBVet,        222.64097,      1.0,    1.0,    1.,     Sherpa
364189,         Sh221_PDF30_Wtaunu_MHPT70_140_BFilter,          95.365521,      1.0,    1.0,    1.,     Sherpa
364190,         Sh221_PDF30_Wtaunu_MHPT140_280_CVetoBVeto,      197.36670,      1.0,    1.0,    1.,     Sherpa
364191,         Sh221_PDF30_Wtaunu_MHPT140_280_CFiltBVet,       93.808553,      1.0,    1.0,    1.,     Sherpa
364192,         Sh221_PDF30_Wtaunu_MHPT140_280_BFilter,         34.25517,       1.0,    1.0,    1.,     Sherpa
364193,         Sh221_PDF30_Wtaunu_MHPT280_500_CVetoBVeto,      38.34009,       1.0,    1.0,    1.,     Sherpa
364194,         Sh221_PDF30_Wtaunu_MHPT280_500_CFiltBVet,       22.270132,      1.0,    1.0,    1.,     Sherpa
364195,         Sh221_PDF30_Wtaunu_MHPT280_500_BFilter,         9.490754,       1.0,    1.0,    1.,     Sherpa
364196,         Sh221_PDF30_Wtaunu_MHPT500_1000,                14.60248,       1.0,    1.0,    1.,     Sherpa
364197,         Sh221_PDF30_Wtaunu_MHPT1000_E_CMS,              1.197227,       1.0,    1.0,    1.,     Sherpa


###########################################
##      Z+jets MASSIVE POWHEGPYTHIA8     ##
###########################################
#cross section: OK
#efficiency: OK
301000,         DYee_120M180,                17.477,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301001,         DYee_180M250,                2.9215,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301002,         DYee_250M400,                1.0819,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301003,         DYee_400M600,                0.19551,           1.0,    1.0,     1.,    PowhegPythiaEvtGen
301004,         DYee_600M800,                0.037403,          1.0,    1.0,     1.,    PowhegPythiaEvtGen
301005,         DYee_800M1000,               0.010607,          1.0,    1.0,     1.,    PowhegPythiaEvtGen
