SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
161985 ,		 0.039679 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 WW->lnulnu+jj(CT10)
105985 ,		 53.899 ,		 1.0 ,		 0.38212 ,		 -- ,		 -999 ,		 2 ,		 Herwig ,		 InclusiveWW_1lepEF(CTEQ6L1)

129477 ,		 1.407 ,		 1.0 ,		 0.29456 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->enuee(CT10)
129478 ,		 0.9382 ,		 1.0 ,		 0.35211 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->enumumu(CT10)
129479 ,		 0.1746 ,		 1.0 ,		 0.16682 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->enutautau(CT10)
129480 ,		 1.399 ,		 1.0 ,		 0.29351 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->munuee(CT10)
129481 ,		 0.9537 ,		 1.0 ,		 0.35132 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->munumumu(CT10)
129482 ,		 0.1746 ,		 1.0 ,		 0.16863 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->munutautau(CT10)
129483 ,		 1.399 ,		 1.0 ,		 0.14289 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->taunuee(CT10)
129484 ,		 0.9382 ,		 1.0 ,		 0.18256 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->taunumumu(CT10)
129485 ,		 0.1719 ,		 1.0 ,		 0.058517 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W+Z->taunutautau(CT10)
129486 ,		 0.9795 ,		 1.0 ,		 0.29694 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->enuee(CT10)
129487 ,		 0.639 ,		 1.0 ,		 0.35302 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->enumumu(CT10)
129488 ,		 0.1125 ,		 1.0 ,		 0.15969 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->enutautau(CT10)
129489 ,		 0.9359 ,		 1.0 ,		 0.29766 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->munuee(CT10)
