SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
342303, ggHlh150,  1.,  1.0,  0.4564,  1.    
342305, ggHlh200,  1.,  1.0,  0.4564,  1. 
342308, ggHlh250,  1.,  1.0,  0.4564,  1.
342310, ggHlh300,  1.,  1.0,  0.4564,  1.
342312, ggHlh350,  1.,  1.0,  0.4564,  1.
342314, ggHlh400,  1.,  1.0,  0.4564,  1.
342316, ggHlh500,  1.,  1.0,  0.4564,  1.
342318, ggHlh600,  1.,  1.0,  0.4564,  1.
342320, ggHlh700,  1.,  1.0,  0.4564,  1.
342322, ggHlh800,  1.,  1.0,  0.4564,  1.
342326, ggHlh1000, 1.,  1.0,  0.4564,  1.
342330, ggHlh1200, 1.,  1.0,  0.4564,  1.
342336, ggHlh1500, 1.,  1.0,  0.4564,  1.
345295, ggHlh1750, 1.,  1.0,  0.4564,  1. 
345297, ggHlh2000, 1.,  1.0,  0.4564,  1.
345299, ggHlh2250, 1.,  1.0,  0.4564,  1.
345301, ggHlh2500, 1.,  1.0,  0.4564,  1.

# bbH lh high mass 
345302, bbHlh150ybyt,  1.,  1.0,  0.4564,  1. 
341925, bbHlh200ybyt,  1.,  1.0,  0.4564,  1.
341857, bbHlh150,  1.,  1.0,  0.4564,  1. 
341858, bbHlh200,  1.,  1.0,  0.4564,  1. 
341859, bbHlh250,  1.,  1.0,  0.4564,  1.
341860, bbHlh300,  1.,  1.0,  0.4564,  1.
341861, bbHlh350,  1.,  1.0,  0.4564,  1.
341862, bbHlh400,  1.,  1.0,  0.4564,  1.
341863, bbHlh500,  1.,  1.0,  0.4564,  1.
341864, bbHlh600,  1.,  1.0,  0.4564,  1.
341865, bbHlh700,  1.,  1.0,  0.4564,  1.
341866, bbHlh800,  1.,  1.0,  0.4564,  1.
341868, bbHlh1000, 1.,  1.0,  0.4564,  1.
341870, bbHlh1200, 1.,  1.0,  0.4564,  1.
341873, bbHlh1500, 1.,  1.0,  0.4564,  1.
345287, bbHlh1750, 1.,  1.0,  0.4564,  1.  
345289, bbHlh2000, 1.,  1.0,  0.4564,  1.
345291, bbHlh2250, 1.,  1.0,  0.4564,  1.
345293, bbHlh2500, 1.,  1.0,  0.4564,  1.


# ggH hh high mass 
341437, ggH200_w1_tautauhh,   1.,  1.0,  0.4194,  1. 
341438, ggH400_w5_tautauhh,   1.,  1.0,  0.4194,  1.
341439, ggH600_w10_tautauhh,  1.,  1.0,  0.4194,  1.
341440, ggH1000_w30_tautauhh, 1.,  1.0,  0.4194,  1.
# bbH hh high mass 
341875, bbH200_yb2_tautauhh,  1.,  1.0,  0.4194,  1.
341879, bbH400_yb2_tautauhh,  1.,  1.0,  0.4194,  1.
341885, bbH1000_yb2_tautauhh, 1.,  1.0,  0.4194,  1.

# ggH125 
341123, ggH125_tautaulh, 1.26644,  1.0,  0.4564,  1.
#
#161555, ggH, 0.34412, 1.00000, 0.122630,ggH125_tautaull 
#161566, ggH, 1.26644, 1.00000, 0.455440,ggH125_tautaulh 
#161577, ggH, 1.16519, 1.00000, 0.421200,ggH125_tautauhh 
#
#161595, VBF, 0.02937, 1.00000, 0.123310,VBFH125_tautaull 
#161617, VBF, 0.09943, 1.00000, 0.422950,VBFH125_tautauhh 
#161635, VH, 0.01081, 1.00000, 0.123160,WH125_tautaull 
#161646, VH, 0.03979, 1.00000, 0.455670,WH125_tautaulh 
#161657, VH, 0.03661, 1.00000, 0.422070,WH125_tautauhh 
#161675, VH, 0.00681, 1.00000, 0.122320,ZH125_tautaull 
#161686, VH, 0.02508, 1.00000, 0.455560,ZH125_tautaulh 
#161697, VH, 0.02307, 1.00000, 0.421500,ZH125_tautauhh 
#

361063, Sherpa_CT10_llll,          12.583,   1.0, 1.0,     1.0
361064, Sherpa_CT10_lllvSFMinus,   1.8446,   1.0, 1.0,     1.0
361065, Sherpa_CT10_lllvOFMinus,   3.6235,   1.0, 1.0,     1.0
361066, Sherpa_CT10_lllvSFPlus,    2.5656,   1.0, 1.0,     1.0
361067, Sherpa_CT10_lllvOFPlus,    5.0169,   1.0, 1.0,     1.0
361068, Sherpa_CT10_llvv,          14.022,   1.0, 1.0,     1.0
361069, Sherpa_CT10_llvvjj_ss_EW4, 0.025765, 1.0, 1.0,     1.0
361081, Sherpa_CT10_WplvWmqq,      25.995,   1.0, 1.0,     1.0
361082, Sherpa_CT10_WpqqWmlv,      25.974,   1.0, 1.0,     1.0
361083, Sherpa_CT10_WlvZqq,        12.543,   1.0, 1.0,     1.0
361084, Sherpa_CT10_WqqZll,        3.7583,   1.0, 1.0,     1.0
361085, Sherpa_CT10_WqqZvv,        7.4151,   1.0, 1.0,     1.0
361086, Sherpa_CT10_ZqqZll,        16.59,    1.0, 0.14253, 1.0
361087, Sherpa_CT10_ZqqZvv,        16.492,   1.0, 0.28096, 1.0


### Powheg mass sliced DY and W samples
301000,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_120M180,           17.4780000, 1.00, 1.,  1.,
301001,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_180M250,           2.9212000,  1.00, 1.,  1.,
301002,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_250M400,           1.0820000,  1.00, 1.,  1.,
301003,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_400M600,           0.1955000,  1.00, 1.,  1.,
301004,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_600M800,           0.0374010,  1.00, 1.,  1.,
301005,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_800M1000,          0.0106070,  1.00, 1.,  1.,
301006,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1000M1250,         0.0042582,  1.00, 1.,  1.,
301007,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1250M1500,         0.0014219,  1.00, 1.,  1.,
301008,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1500M1750,         0.0005452,  1.00, 1.,  1.,
301009,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1750M2000,         0.0002299,  1.00, 1.,  1.,
301010,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2000M2250,         0.0001039,  1.00, 1.,  1.,
301011,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2250M2500,         0.0000494,  1.00, 1.,  1.,
301012,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2500M2750,         0.0000245,  1.00, 1.,  1.,
301013,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2750M3000,         0.0000125,  1.00, 1.,  1.,
301014,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_3000M3500,         0.0000100,  1.00, 1.,  1.,
301015,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_3500M4000,         0.0000029,  1.00, 1.,  1.,
301016,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_4000M4500,         0.0000009,  1.00, 1.,  1.,
301017,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_4500M5000,         0.0000003,  1.00, 1.,  1.,
301018,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_5000M,             0.0000001,  1.00, 1.,  1.,
301020,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_120M180,         17.478000,  1.00, 1.,  1.,
301021,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_180M250,         2.9212000,  1.00, 1.,  1.,
301022,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_250M400,         1.0820000,  1.00, 1.,  1.,
301023,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_400M600,         0.1955000,  1.00, 1.,  1.,
301024,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_600M800,         0.0373990,  1.00, 1.,  1.,
301025,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_800M1000,        0.0106070,  1.00, 1.,  1.,
301026,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_1000M1250,       0.0042582,  1.00, 1.,  1.,
301027,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_1250M1500,       0.0014219,  1.00, 1.,  1.,
301028,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_1500M1750,       0.0005452,  1.00, 1.,  1.,
301029,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_1750M2000,       0.0002299,  1.00, 1.,  1.,
301030,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2000M2250,       0.0001039,  1.00, 1.,  1.,
301031,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2250M2500,       0.0000494,  1.00, 1.,  1.,
301032,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2500M2750,       0.0000245,  1.00, 1.,  1.,
301033,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2750M3000,       0.0000125,  1.00, 1.,  1.,
301034,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_3000M3500,       0.0000100,  1.00, 1.,  1.,
301035,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_3500M4000,       0.0000029,  1.00, 1.,  1.,
301036,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_4000M4500,       0.0000009,  1.00, 1.,  1.,
301037,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_4500M5000,       0.0000003,  1.00, 1.,  1.,
301038,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_5000M,           0.0000001,  1.00, 1.,  1.,
301040,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_120M180,       17.4800000, 1.00, 1.,  1.,
301041,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_180M250,       2.9209000,  1.00, 1.,  1.,
301042,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_250M400,       1.0820000,  1.00, 1.,  1.,
301043,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600,       0.1955000,  1.00, 1.,  1.,
301044,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_600M800,       0.0374010,  1.00, 1.,  1.,
301045,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_800M1000,      0.0106070,  1.00, 1.,  1.,
301046,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1000M1250,     0.0042584,  1.00, 1.,  1.,
301047,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1250M1500,     0.0014220,  1.00, 1.,  1.,
301048,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1500M1750,     0.0005452,  1.00, 1.,  1.,
301049,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1750M2000,     0.0002299,  1.00, 1.,  1.,
301050,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2000M2250,     0.0001039,  1.00, 1.,  1.,
301051,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2250M2500,     0.0000494,  1.00, 1.,  1.,
301052,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2500M2750,     0.0000245,  1.00, 1.,  1.,
301053,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2750M3000,     0.0000125,  1.00, 1.,  1.,
301054,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3000M3500,     0.0000100,  1.00, 1.,  1.,
301055,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3500M4000,     0.0000029,  1.00, 1.,  1.,
301056,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_4000M4500,     0.0000009,  1.00, 1.,  1.,
301057,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_4500M5000,     0.0000003,  1.00, 1.,  1.,
301058,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_5000M,         0.0000001,  1.00, 1.,  1.,
301060,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_120M180,       32.0530000, 1.00, 1.,  1.,
301061,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_180M250,       5.0029000,  1.00, 1.,  1.,
301062,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_250M400,       1.7543000,  1.00, 1.,  1.,
301063,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_400M600,       0.3123500,  1.00, 1.,  1.,
301064,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_600M800,       0.0607930,  1.00, 1.,  1.,
301065,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_800M1000,      0.0176680,  1.00, 1.,  1.,
301066,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1000M1250,     0.0072895,  1.00, 1.,  1.,
301067,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1250M1500,     0.0025071,  1.00, 1.,  1.,
301068,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1500M1750,     0.0009863,  1.00, 1.,  1.,
301069,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1750M2000,     0.0004245,  1.00, 1.,  1.,
301070,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2000M2250,     0.0001946,  1.00, 1.,  1.,
301071,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2250M2500,     0.0000933,  1.00, 1.,  1.,
301072,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2500M2750,     0.0000463,  1.00, 1.,  1.,
301073,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2750M3000,     0.0000235,  1.00, 1.,  1.,
301074,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_3000M3500,     0.0000185,  1.00, 1.,  1.,
301075,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_3500M4000,     0.0000051,  1.00, 1.,  1.,
301076,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_4000M4500,     0.0000014,  1.00, 1.,  1.,
301077,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_4500M5000,     0.0000004,  1.00, 1.,  1.,
301078,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_5000M,         0.0000002,  1.00, 1.,  1.,
301080,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_120M180,        22.1980000, 1.00, 1.,  1.,
301081,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_180M250,        3.2852000,  1.00, 1.,  1.,
301082,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_250M400,        1.0832000,  1.00, 1.,  1.,
301083,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_400M600,        0.1754100,  1.00, 1.,  1.,
301084,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_600M800,        0.0309800,  1.00, 1.,  1.,
301085,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_800M1000,       0.0082865,  1.00, 1.,  1.,
301086,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1000M1250,      0.0031594,  1.00, 1.,  1.,
301087,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1250M1500,      0.0010029,  1.00, 1.,  1.,
301088,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1500M1750,      0.0003681,  1.00, 1.,  1.,
301089,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1750M2000,      0.0001495,  1.00, 1.,  1.,
301090,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2000M2250,      0.0000653,  1.00, 1.,  1.,
301091,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2250M2500,      0.0000302,  1.00, 1.,  1.,
301092,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2500M2750,      0.0000145,  1.00, 1.,  1.,
301093,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2750M3000,      0.0000073,  1.00, 1.,  1.,
301094,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_3000M3500,      0.0000057,  1.00, 1.,  1.,
301095,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_3500M4000,      0.0000016,  1.00, 1.,  1.,
301096,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_4000M4500,      0.0000005,  1.00, 1.,  1.,
301097,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_4500M5000,      0.0000001,  1.00, 1.,  1.,
301098,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_5000M,          0.0000001,  1.00, 1.,  1.,
301100,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_120M180,      32.0530000, 1.00, 1.,  1.,
301101,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_180M250,      5.0029000,  1.00, 1.,  1.,
301102,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_250M400,      1.7543000,  1.00, 1.,  1.,
301103,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_400M600,      0.3123500,  1.00, 1.,  1.,
301104,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_600M800,      0.0607930,  1.00, 1.,  1.,
301105,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_800M1000,     0.0176680,  1.00, 1.,  1.,
301106,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_1000M1250,    0.0072895,  1.00, 1.,  1.,
301107,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_1250M1500,    0.0025071,  1.00, 1.,  1.,
301108,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_1500M1750,    0.0009863,  1.00, 1.,  1.,
301109,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_1750M2000,    0.0004246,  1.00, 1.,  1.,
301110,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_2000M2250,    0.0001946,  1.00, 1.,  1.,
301111,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_2250M2500,    0.0000933,  1.00, 1.,  1.,
301112,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_2500M2750,    0.0000463,  1.00, 1.,  1.,
301113,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_2750M3000,    0.0000235,  1.00, 1.,  1.,
301114,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_3000M3500,    0.0000185,  1.00, 1.,  1.,
301115,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_3500M4000,    0.0000051,  1.00, 1.,  1.,
301116,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_4000M4500,    0.0000014,  1.00, 1.,  1.,
301117,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_4500M5000,    0.0000004,  1.00, 1.,  1.,
301118,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_5000M,        0.0000002,  1.00, 1.,  1.,
301120,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_120M180,       22.1980000, 1.00, 1.,  1.,
301121,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_180M250,       3.2853000,  1.00, 1.,  1.,
301122,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_250M400,       1.0832000,  1.00, 1.,  1.,
301123,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_400M600,       0.1754100,  1.00, 1.,  1.,
301124,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_600M800,       0.0309800,  1.00, 1.,  1.,
301125,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_800M1000,      0.0082865,  1.00, 1.,  1.,
301126,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_1000M1250,     0.0031594,  1.00, 1.,  1.,
301127,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_1250M1500,     0.0010029,  1.00, 1.,  1.,
301128,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_1500M1750,     0.0003681,  1.00, 1.,  1.,
301129,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_1750M2000,     0.0001495,  1.00, 1.,  1.,
301130,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_2000M2250,     0.0000653,  1.00, 1.,  1.,
301131,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_2250M2500,     0.0000302,  1.00, 1.,  1.,
301132,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_2500M2750,     0.0000145,  1.00, 1.,  1.,
301133,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_2750M3000,     0.0000073,  1.00, 1.,  1.,
301134,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_3000M3500,     0.0000057,  1.00, 1.,  1.,
301135,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_3500M4000,     0.0000016,  1.00, 1.,  1.,
301136,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_4000M4500,     0.0000005,  1.00, 1.,  1.,
301137,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_4500M5000,     0.0000001,  1.00, 1.,  1.,
301138,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminmunu_5000M,         0.0000001,  1.00, 1.,  1.,
301140,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_120M180,     32.0530000, 1.00, 1.,  1.,
301141,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_180M250,     5.0029000,  1.00, 1.,  1.,
301142,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_250M400,     1.7543000,  1.00, 1.,  1.,
301143,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_400M600,     0.3123500,  1.00, 1.,  1.,
301144,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_600M800,     0.0607930,  1.00, 1.,  1.,
301145,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_800M1000,    0.0176680,  1.00, 1.,  1.,
301146,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_1000M1250,   0.0072895,  1.00, 1.,  1.,
301147,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_1250M1500,   0.0025071,  1.00, 1.,  1.,
301148,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_1500M1750,   0.0009863,  1.00, 1.,  1.,
301149,   PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu_1750M2000,   0.0004246,  1.00, 1.,  1.,
