SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
"161071","0.0575413","1.0","0.57496","--","220","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161072","0.0495373","1.0","0.57904","--","240","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161073","0.0425374","1.0","0.58189","--","260","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161074","0.0368075","1.0","0.58606","--","280","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161075","0.0320212","1.0","0.5871","--","300","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161076","0.0280273","1.0","0.58722","--","320","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161077","0.024679","1.0","0.59102","--","340","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161078","0.0206932","1.0","0.59321","--","360","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161079","0.0177471","1.0","0.59443","--","380","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161080","0.0155367","1.0","0.59699","--","400","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161081","0.0137425","1.0","0.59423","--","420","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161082","0.0122524","1.0","0.5993","--","440","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161083","0.0109789","1.0","0.59795","--","460","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161084","0.0098814","1.0","0.60054","--","480","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161085","0.0089471","1.0","0.59961","--","500","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161086","0.0081194","1.0","0.60079","--","520","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161087","0.0073941","1.0","0.60086","--","540","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161088","0.0067565","1.0","0.6006","--","560","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161089","0.0061873","1.0","0.60151","--","580","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"161090","0.0056749","1.0","0.60156","--","600","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF"
"169100","0.0155367","1.0","0.59462","--","400","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169101","0.0137425","1.0","0.59765","--","420","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169102","0.0122524","1.0","0.59913","--","440","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
