SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
181477,0.00403,0.880,1.0,--,-999,2,Sherpa,Zgamma*->2tau2e(mll1/2>4/<4GeV)+1p,Full
181478,0.00401,0.880,1.0,--,-999,2,Sherpa,Zgamma*->2tau2mu(mll1/2>4/<4GeV)+1p,Full
181479,0.00411,0.880,1.0,--,-999,2,Sherpa,Zgamma*->4tau(mll1/2>4/<4GeV)+1p,Full
126937,0.0735,1.0,0.90765,--,-999,1,Powheg+Pythia8,ZZ->4e(mll>4GeV),Full
126938,0.1708,1.0,0.82724,--,-999,1,Powheg+Pythia8,ZZ->2e2mu(mll>4GeV),Full
126939,0.1708,1.0,0.58278,--,-999,1,Powheg+Pythia8,ZZ->2e2tau(mll>4GeV),Full
126940,0.0735,1.0,0.91241,--,-999,1,Powheg+Pythia8,ZZ->4mu(mll>4GeV),Full
126941,0.1708,1.0,0.58725,--,-999,1,Powheg+Pythia8,ZZ->2mu2tau(mll>4GeV),Full
126942,0.0735,1.0,0.10604,--,-999,1,Powheg+Pythia8,ZZ->4tau(mll>4GeV),Full
126949,0.168,1.0,1.0,--,-999,1,Powheg+Pythia8,ZZ->eenunu(mll>4GeV),Full
126950,0.168,1.0,1.0,--,-999,1,Powheg+Pythia8,ZZ->mumununu(mll>4GeV),Full
126951,0.168,1.0,1.0,--,-999,1,Powheg+Pythia8,ZZ->tautaununu(mll>4GeV),Full
161962,0.7686,1.0,1.0,--,-999,2,Sherpa,ZZ->llll,Full
161963,0.504,1.0,1,--,-999,2,Sherpa,ZZ->llnunu(Mll>4GeV),Full
177999,0.494,1.0,1,--,-999,2,Sherpa,ZZ->llnunu(MassiveB/C),Full
161986,0.0012314,1.0,1.0,--,-999,1,Sherpa,ZZ->llnunu+jj(6EWcoupling),Full
161988,0.00073568,1.0,1.0,--,-999,1,Sherpa,ZZ->llll+jj(6EWcoupling),Full
105986,7.325,1.0,0.21165,--,-999,2,Herwig,InclusiveZZ_1lepEF,Full
116600,0.00405,1.0,0.56875,--,-999,2,gg2ZZ,gg->ZZ->4lep(DF)_3lepEF,Full
116601,0.00067,1.0,1.0,--,-999,1,gg2ZZ,gg->ZZ->4e,Full
116602,0.00067,1.0,1.0,--,-999,1,gg2ZZ,gg->ZZ->4mu,Full
116603,0.00135,1.0,1.0,--,-999,1,gg2ZZ,gg->ZZ->2e2mu,Full
161966,5.8848,1.0,1.0,--,-999,2,Sherpa,Inclusive_llnunu,Full
167006,0.0050961,1.0,1.0,--,-999,2,MadGraph,WWW*->lnulnulnu,Full
167007,0.0015546,1.0,1.0,--,-999,2,MadGraph,ZWW*->lllnulnu,Full
167008,0.00033239,1.0,1.0,--,-999,2,MadGraph,ZZZ*->nunullll,Full
147800,7116.4,1.0,1.0,--,-999,2,Powheg+Pythia8,W+->enu,Full
147801,7116.4,1.0,1.0,--,-999,2,Powheg+Pythia8,W+->munu,Full
147802,7116.4,1.0,1.0,--,-999,2,Powheg+Pythia8,W+->taunu,Full
147803,5069.5,1.0,1.0,--,-999,2,Powheg+Pythia8,W-->enu,Full
147804,5069.5,1.0,1.0,--,-999,2,Powheg+Pythia8,W-->munu,Full
147805,5069.5,1.0,1.0,--,-999,2,Powheg+Pythia8,W-->taunu,Full
147774,12185.8,1.0,1.0,--,-999,2,Sherpa,W->enu,Full
147775,12185.8,1.0,1.0,--,-999,2,Sherpa,W->munu,Full
147776,12185.8,1.0,1.0,--,-999,2,Sherpa,W->taunu,Full
107680,8037.1,1.19,1.0,--,-999,1,Alpgen+Herwig,Wenu+0p,Full
107681,1579.2,1.19,1.0,--,-999,1,Alpgen+Herwig,Wenu+1p,Full
107682,477.2,1.19,1.0,--,-999,1,Alpgen+Herwig,Wenu+2p,Full
107683,133.93,1.19,1.0,--,-999,1,Alpgen+Herwig,Wenu+3p,Full
107684,35.622,1.19,1.0,--,-999,1,Alpgen+Herwig,Wenu+4p,Full
107685,10.553,1.19,1.0,--,-999,1,Alpgen+Herwig,Wenu+5p,Full
107690,8040,1.19,1.0,--,-999,1,Alpgen+Herwig,Wmunu+0p,Full
107691,1580.3,1.19,1.0,--,-999,1,Alpgen+Herwig,Wmunu+1p,Full
107692,477.5,1.19,1.0,--,-999,1,Alpgen+Herwig,Wmunu+2p,Full
107693,133.94,1.19,1.0,--,-999,1,Alpgen+Herwig,Wmunu+3p,Full
107694,35.636,1.19,1.0,--,-999,1,Alpgen+Herwig,Wmunu+4p,Full
107695,10.571,1.19,1.0,--,-999,1,Alpgen+Herwig,Wmunu+5p,Full
107700,8035.8,1.19,1.0,--,-999,1,Alpgen+Herwig,Wtaunu+0p,Full
107701,1579.8,1.19,1.0,--,-999,1,Alpgen+Herwig,Wtaunu+1p,Full
107702,477.55,1.19,1.0,--,-999,1,Alpgen+Herwig,Wtaunu+2p,Full
107703,133.79,1.19,1.0,--,-999,1,Alpgen+Herwig,Wtaunu+3p,Full
107704,35.583,1.19,1.0,--,-999,1,Alpgen+Herwig,Wtaunu+4p,Full
107705,10.54,1.19,1.0,--,-999,1,Alpgen+Herwig,Wtaunu+5p,Full
107280,55.682,1.19,1.0,--,-999,2,Alpgen+Herwig,Wbb+0p(nocut),Full
107281,45.243,1.19,1.0,--,-999,2,Alpgen+Herwig,Wbb+1p(nocut),Full
107282,23.246,1.19,1.0,--,-999,2,Alpgen+Herwig,Wbb+2p(nocut),Full
107283,11.144,1.19,1.0,--,-999,2,Alpgen+Herwig,Wbb+3p(nocut),Full
117293,807.89,1.19,1.0,--,-999,2,Alpgen+Herwig,Wc+0p(nocut),Full
117294,267.61,1.19,1.0,--,-999,2,Alpgen+Herwig,Wc+1p(nocut),Full
117295,69.823,1.19,1.0,--,-999,2,Alpgen+Herwig,Wc+2p(nocut),Full
117296,20.547,1.19,1.0,--,-999,2,Alpgen+Herwig,Wc+3p(nocut),Full
117297,4.3069,1.19,1.0,--,-999,2,Alpgen+Herwig,Wc+4p(nocut),Full
117284,150.19,1.19,1.0,--,-999,2,Alpgen+Herwig,Wcc+0p(nocut),Full
117285,132.68,1.19,1.0,--,-999,2,Alpgen+Herwig,Wcc+1p(nocut),Full
117286,71.807,1.19,1.0,--,-999,2,Alpgen+Herwig,Wcc+2p(nocut),Full
117287,30.264,1.19,1.0,--,-999,2,Alpgen+Herwig,Wcc+3p(nocut),Full
117680,8136.8,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wenu+0p,Full
117681,1791.5,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wenu+1p,Full
117682,541.6,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wenu+2p,Full
117683,146.65,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wenu+3p,Full
117684,37.295,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wenu+4p,Full
117685,11.369,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wenu+5p,Full
117690,8133.4,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wmunu+0p,Full
117691,1792.7,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wmunu+1p,Full
117692,541.27,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wmunu+2p,Full
117693,146.49,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wmunu+3p,Full
117694,37.334,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wmunu+4p,Full
117695,11.414,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wmunu+5p,Full
117700,8135.7,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wtaunu+0p,Full
117701,1793.7,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wtaunu+1p,Full
117702,541.24,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wtaunu+2p,Full
117703,146.48,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wtaunu+3p,Full
117704,37.264,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wtaunu+4p,Full
117705,11.537,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wtaunu+5p,Full
110801,52.255,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wbb+0p(nocut),Full
110802,45.54,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wbb+1p(nocut),Full
110803,23.671,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wbb+2p(nocut),Full
110804,12.525,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wbb+3p(nocut),Full
126601,758.93,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wc+0p(nocut),Full
126602,274.24,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wc+1p(nocut),Full
126603,71.634,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wc+2p(nocut),Full
126604,16.425,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wc+3p(nocut),Full
126605,4.7468,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wc+4p(nocut),Full
126606,143.07,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wcc+0p(nocut),Full
126607,143.68,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wcc+1p(nocut),Full
126608,80.762,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wcc+2p(nocut),Full
126609,35.932,1.15,1.0,--,-999,2,Alpgen+Pythia6,Wcc+3p(nocut),Full
147025,8127.3,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wenu+0p,Full
147026,1792.9,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wenu+1p,Full
147027,542.3,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wenu+2p,Full
147028,147.65,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wenu+3p,Full
147029,37.751,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wenu+4p,Full
147030,11.916,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wenu+5p,Full
147033,8127.1,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wmunu+0p,Full
147034,1792.8,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wmunu+1p,Full
147035,542.42,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wmunu+2p,Full
147036,147.66,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wmunu+3p,Full
147037,37.76,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wmunu+4p,Full
147038,11.934,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wmunu+5p,Full
