SampleID, xsectioninpb
407061, 2.89630094
407062, 0.365740698
407063, 2.91285587
407064, 0.366789706
410011, 44.152
410012, 26.276
410013, 35.845486
410014, 35.824406
410015, 3.777009
410016, 3.7747956
410017, 44.152
410018, 44.152
410019, 26.276
410020, 26.276
410025, 2.06121
410026, 1.00464
410047, 43.614
410048, 25.744
410049, 0.0090636
410050, 0.24013
410062, 34.132736
410063, 34.104278
410064, 3.5976182
410065, 3.593086
410099, 35.859759
410100, 35.845711
410101, 35.835111
410102, 35.825324
410103, 3.778333
410104, 3.7770673
410105, 3.7759709
410106, 3.7749213
410107, 2.0755
410108, 2.0331
410109, 1.2753
410110, 1.2514
410141, 68.768
410145, 3.872
410146, 3.872
410147, 35.836
410148, 35.836
410151, 0.19748
410152, 0.29866
410153, 0.0074284
410154, 0.011252
410164, 7.8714
410215, 0.015558
410217, 0.015483
410237, 3.5903
410238, 3.5887
361100, 11500.9154
361101, 11500.9154
361102, 11500.9154
361103, 8579.0011
361104, 8579.0011
361105, 8579.0011
301060, 32.053
301061, 5.0029
301062, 1.7543
301063, 0.31235
301064, 0.060793
301065, 0.017668
301066, 0.0072895
301067, 0.0025071
301068, 0.00098628
301069, 0.0004245
301070, 0.00019463
301071, 9.3349e-05
301072, 4.6259e-05
301073, 2.3476e-05
301074, 1.845e-05
301075, 5.0968e-06
301076, 1.4307e-06
301077, 4.0127e-07
301078, 1.5365e-07
301080, 22.198
301081, 3.2852
301082, 1.0832
301083, 0.17541
301084, 0.03098
301085, 0.0082865
301086, 0.0031594
301087, 0.0010029
301088, 0.00036812
301089, 0.00014945
301090, 6.5311e-05
301091, 3.0167e-05
301092, 1.4549e-05
301093, 7.2592e-06
301094, 5.6692e-06
301095, 1.5975e-06
301096, 4.721e-07
301097, 1.4279e-07
301098, 6.1624e-08
301100, 32.053
301101, 5.0029
301102, 1.7543
301103, 0.31235
301104, 0.060793
301105, 0.017668
301106, 0.0072895
301107, 0.0025071
301108, 0.00098628
301109, 0.00042457
301110, 0.00019463
301111, 9.3349e-05
301112, 4.6259e-05
301113, 2.3476e-05
301114, 1.845e-05
301115, 5.0968e-06
301116, 1.4307e-06
301117, 4.0127e-07
301118, 1.5365e-07
301120, 22.198
301121, 3.2853
301122, 1.0832
301123, 0.17541
301124, 0.03098
301125, 0.0082865
301126, 0.0031594
301127, 0.0010029
301128, 0.00036812
301129, 0.00014945
301130, 6.5311e-05
301131, 3.0167e-05
301132, 1.4549e-05
301133, 7.2592e-06
301134, 5.6692e-06
301135, 1.5975e-06
301136, 4.721e-07
301137, 1.4279e-07
301138, 6.1624e-08
301140, 32.053
301141, 5.0029
301142, 1.7543
301143, 0.31235
301144, 0.060793
301145, 0.017668
301146, 0.0072895
301147, 0.0025071
301148, 0.00098628
301149, 0.00042457
301150, 0.00019463
