SampleID,category,xsectioninpb,kfactor,efficiency,xsecunc,generator
301023, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_400M600, 0.195500, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301024, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_600M800, 0.037399, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301025, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_800M1000, 0.010607, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301026, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_1000M1250, 0.004258, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301027, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_1250M1500, 0.001422, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301028, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_1500M1750, 0.000545, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301029, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_1750M2000, 0.000230, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301030, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2000M2250, 0.000104, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301031, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2250M2500, 0.000049, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301032, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2500M2750, 0.000024, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301033, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2750M3000, 0.000012, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301034, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_3000M3500, 0.000010, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301035, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_3500M4000, 0.000003, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
301036, PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_4000M4500, 0.000001, 1.0000E+00, 1., 1.,Powheg+Pythia8+EvtGen+Photospp
