SampleID , xsection , kfactor , filtereff , uncertainty , mh , generator , process , simulation
# Units on xsection in this file are in nb, not the default pb!  You MUST specify this correctly in your analyze step.

# This file contains a list of DSIDs and their cross section and serves as a comprehensive example.
# If you happen to find a mistake in this file, please report it, because a version of this file
# is used for the HWW analysis.

###################################################################################################################################################################
###################################################################################################################################################################
# 																		signal 																					  #
###################################################################################################################################################################
###################################################################################################################################################################

346560, 2.5807312E-05, 1.0, 0.46314, --, 125.09, Powheg+Pythia8(v.235)+EvtGen(v.1.6.0), PowhegPythia8EvtGen_NNPDF3_AZNLO_WmH125J_MINLO_lvWWlvqq, OFLCOND-MC16-SDR-25
346561, 1.6362082E-05, 1.0, 0.46338, --, 125.09, Powheg+Pythia8(v.235)+EvtGen(v.1.6.0), PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_lvWWlvqq, OFLCOND-MC16-SDR-20
# ==================================================================================================================================
345326, 4.027E-06, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_NNPDF3_AZNLO_WmH125J_MINLO_lvWWlvlv, DUMMY
345327, 6.344E-06, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_lvWWlvlv, DUMMY

# SM qq->ZH
341449, 5.761E-07, 1.0, 1.0,        --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_eeWWlvlv_VpT, OFLCOND-RUN12-SDR-30
341450, 2.404E-06, 1.0, 0.43745,    --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_eeWWlvqq_VpT, OFLCOND-RUN12-SDR-30
341451, 5.761E-07, 1.0, 1.0,        --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_mumuWWlvlv_VpT, OFLCOND-RUN12-SDR-30
341452, 2.404E-06, 1.0, 0.4353,     --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_mumuWWlvqq_VpT, OFLCOND-RUN12-SDR-30
341453, 5.761E-07, 1.0, 1.0,        --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_tautauWWlvlv_VpT, OFLCOND-RUN12-SDR-30
341454, 2.404E-06, 1.0, 0.43681,    --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_tautauWWlvqq_VpT, OFLCOND-RUN12-SDR-30
341455, 1.144E-06, 1.0, 1.0,        --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_veveWWlvlv_VpT, OFLCOND-RUN12-SDR-30
341456, 4.775E-06, 1.0, 0.44058,    --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_veveWWlvqq_VpT, OFLCOND-RUN12-SDR-30
341457, 1.144E-06, 1.0, 1.0,        --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_vmuvmuWWlvlv_VpT, OFLCOND-RUN12-SDR-30
341458, 4.775E-06, 1.0, 0.43925,    --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_vmuvmuWWlvqq_VpT, OFLCOND-RUN12-SDR-30
341459, 1.144E-06, 1.0, 1.0,        --, 125,  PowhegPythia8EG, PowhegPy8EG_CT10_AZNLO_ZH125J_MINLO_vtauvtauWWlvlv_VpT, OFLCOND-RUN12-SDR-30
341460, 4.775E-06, 1.0, 0.43441,    --, 125,  PowhegPythia8EG, PowhegPy8EG_CT10_AZNLO_ZH125J_MINLO_vtauvtauWWlvqq_VpT, OFLCOND-RUN12-SDR-30
341461, 1.192E-05, 1.0, 1.0,        --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_qqWWlvlv_VpT, OFLCOND-RUN12-SDR-30
# ==================================================================================================================================
# 2019/09/23 -- MJB: the below Xsec doesn't agree with the value I calculated, but I'll use the value I calculated for now
# 345336, 1.192E-05, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_qqWWlvlv, DUMMY
345336, 1.7353479E-05, 1.0, 1.0, --, 125.09, Powheg+Pythia8(v8.212)+EvtGen(v1.2.0), PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_qqWWlvlv, OFLCOND-MC16-SDR-16
# ==================================================================================================================================
345337, 1.728E-06, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_llWWlvlv, DUMMY
345445, 3.433E-06, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_vvWWlvlv, DUMMY
345671, 1.728E-06,  1.0, 1.0,     --, 125, PowhegHerwig7EvtGen, PowhegHerwig7EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_llWWlvlv_VpT, DUMMY

# SM gg->ZH
# FilterEff values for all but 344387 are placeholders (copied from qq->ZH values above)
344376, 9.287E-08, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_eeWWlvlv, OFLCOND-RUN12-SDR-30
344377, 3.875E-07, 1.0, 0.43745,    --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_eeWWlvqq, OFLCOND-RUN12-SDR-30
344378, 9.287E-08, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_mumuWWlvlv, OFLCOND-RUN12-SDR-30
344379, 3.875E-07, 1.0, 0.4353,     --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_mumuWWlvqq, OFLCOND-RUN12-SDR-30
344380, 9.287E-08, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_tautauWWlvlv, OFLCOND-RUN12-SDR-30
344381, 3.875E-07, 1.0, 0.43681,    --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_tautauWWlvqq, OFLCOND-RUN12-SDR-30
344382, 1.837E-07, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_veveWWlvlv, OFLCOND-RUN12-SDR-30
344383, 7.667E-07, 1.0, 0.44058,    --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_veveWWlvqq, OFLCOND-RUN12-SDR-30
